QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USORC.110412.R07B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Mitt Romney",nan,Registered voters,11/4/2012,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,11/2/2012,11/4/2012,Y,National adult,1010,Q7B,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 760 interviews among landline respondents and 250 interviews among cell phone respondents.,49.0,47.0,4.0
USPRRI.12VALUES2.R14A,"Regardless of who you support (in the 2012 presidential election)...Is your overall opinion of...Mitt Romney very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",* = less than .5%.,nan,11/15/2012,Public Religion Research Institute,nan,Public Religion Research Institute Post-election American Values Survey 2012,11/7/2012,11/11/2012,Y,Callback adults,1410,Q14A,"Telephone Interview, Cell Phone; Telephone Interview, Landline","Interviews were conducted by Directions in Research. Respondents were originally interviewed September 13-30, 2012 as part of a national adult sample of 3003.  The survey was funded by the Ford Foundation with additional support from the Nathan Cummings Foundation.",49.0,49.0,2.0
USTARR.12BRUSH3.R04,"(Now I would like to read you the names of several individuals.  For each one, please tell me whether you have heard of that person and if so, whether you have a favorable or an unfavorable impression of that person.  If you do not recognize the name, just say so.)...Mitt Romney...(If Favorable/Unfavorable, ask:) Would that be a strongly favorable/unfavorable impression of just a somewhat favorable/unfavorable impression?",* = less than .5%.,nan,10/22/2012,Tarrance Group; Lake Research Partners,Politico; George Washington University,Politico/George Washington University Battleground Brushfire 2012 Survey,10/15/2012,10/18/2012,Y,National likely voters,1000,nan,Telephone Interview,Likely voters are registered voters who said they are somewhat/very/extremely like to vote in 201.,50.0,45.0,5.0
USGREEN.12DCOCT22.R17,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold. You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion or never heard of that person or organization, please say so.)...Mitt Romney...Give...Mitt Romney a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...Mitt Romney, or have you never heard of...Mitt Romney?",Mean = 46.7,nan,10/22/2012,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/18/2012,10/21/2012,Y,National likely voters,1000,nan,Telephone Interview,Likely voters are registered voters who voted in the 2008 election/weren't registered/ineligible/too young to vote and said they are probably or almost certain to vote in the 2012 election.,43.0,45.0,12.0
31118750.00005,"(I'm going to mention some people in the news. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough about the person to answer, just say so.)...Mitt Romney, United States Senator from Utah",nan,nan,03/31/2021,Selzer & Co.,Grinnell College,Pessimistic View of Race Relations Exists Among Majority of Americans,03/24/2021,03/28/2021,Y,National adult,1012,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,34.0,37.0,29.0
USAYRES.12RESREPNOV.R19,"(I would like to read you a list of names of people and groups and have you tell me, for each one, whether you've heard of that person or group and, if so, whether you have a favorable or unfavorable opinion of them.  If you haven't heard of the person or group, just say so.)...Mitt Romney...(If Favorable/Unfavorable, ask:) Would that be very favorable/unfavorable or just somewhat favorable/unfavorable?",* = less than .5%.,nan,11/9/2012,North Star Opinion Research,Resurgent Republic,Resurgent Republic Survey,11/6/2012,11/8/2012,Y,National registered voters who voted in the 2012 presidential election,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.  Results were weighted to conform to the popular vote outcome of 50% Barack Obama and 48% Mitt Romney.,56.0,42.0,3.0
USTARR.12BRUSH4.R04,"(Now I would like to read you the names of several individuals.  For each one, please tell me whether you have heard of that person and if so, whether you have a favorable or an unfavorable impression of that person.  If you do not recognize the name, just say so.)...Mitt Romney...(If Favorable/Unfavorable, ask:) Would that be a strongly favorable/unfavorable impression or just a somewhat favorable/unfavorable impression?",nan,nan,10/29/2012,Tarrance Group; Lake Research Partners,Politico; George Washington University,Politico/George Washington University Battleground Brushfire 2012 Survey,10/22/2012,10/25/2012,Y,National likely voters,1000,nan,Telephone Interview,"Likely voters are registered voters who said they are somewhat/very/extremely likely to vote in 2012, or they already voted.",52.0,43.0,6.0
USAYRES.12RESREPOCT.R15,"(I would like to read you a list of names of people and groups and have you tell me, for each one, whether you've heard of that person or group and, if so, whether you have a favorable or unfavorable opinion of them.  If you haven't heard of the person or group, just say so.)...Mitt Romney...(If Favorable/Unfavorable, ask:) Would that be very favorable/unfavorable or just somewhat favorable/unfavorable?",nan,nan,10/30/2012,North Star Opinion Research,National Public Radio; Resurgent Republic; Democracy Corps,NPR/Democracy Corps/Resurgent Republic Survey,10/23/2012,10/25/2012,Y,National likely voters,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,51.0,45.0,3.0
USORC.031813.R04A,"We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....Mitt Romney",nan,nan,03/18/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,03/15/2013,03/17/2013,Y,National adult,1021,Q4I,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 716 interviews among landline respondents and 305 interviews among cell phone respondents.,41.0,52.0,7.0
USMARIST.021214M.R12,"Overall, do you have a favorable or an unfavorable impression of Mitt Romney?",nan,Asked of Registered voters (81%),02/12/2014,Marist College Institute for Public Opinion,McClatchy,McClatchy/Marist Poll,02/4/2014,02/9/2014,Y,National adult,1197,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,43.0,51.0,6.0
